k,rho,nu,beta,gamma
0.2001242998194639,0.9712204473951823,1.3133280974275876,-1.0711001847672965,-1.1764339097373764
0.22379408536344164,0.9015199326630214,0.92088011657964,-1.1296119875427888,-1.2934174594843155
0.22879122149303682,0.8507506584763483,1.1092205195073692,-1.0794586828115829,-1.2084771332235096
0.1743819405100968,0.7162106681469306,1.3474794918430832,-1.140525499267198,-1.2232955873412468
0.3700887176597381,0.7876655438125888,1.2951804920423222,-1.0108207164496252,-1.1448385704497928
0.15305836413839624,0.9219031761733676,1.1292613633437676,-1.1601925859306086,-1.2139886412842653
0.17557997575616552,0.8473064508515904,0.9564330229871325,-1.1241441002489108,-1.3070799509741593
0.362842504095658,0.7209965654595301,1.2889203620732939,-1.0903082101082466,-1.1172615150220278
0.15319046821710053,0.8992391047135045,1.0128526297118403,-1.1143019968442438,-1.1750522149681304
0.08657876051929647,0.8931787858716227,1.8932996426050142,-1.0199567013805586,-1.1115350569248685
0.24503626089960082,0.8158711806391012,0.7847018409883983,-1.1069472667129894,-1.22124333231435
0.4575335708923715,0.7515545010775648,0.9350141503419436,-1.064806582745014,-1.1518295062596182
0.3771384652751667,0.5736972858507596,1.153539291449769,-1.0924227923146028,-1.3137510723252288
0.3828189094467502,0.7451815720476357,0.849943958610771,-1.0810931711001706,-1.177544414532572
0.28605375694966284,0.8051615417581266,0.9844408065239505,-1.0582595808723259,-1.1550847485039197
0.22770883999973346,0.6187141907496828,1.2677812353552063,-1.181676821938985,-1.3091581082319084
0.1421673931518801,0.8934526978748716,1.223796655884263,-1.1273711516421843,-1.2155809683034473
0.35865988235994106,0.7811716168321821,1.0668181815039575,-1.0112409540712592,-1.106734778399366
0.36845082752269576,0.7907396434001659,1.2075036770399468,-1.0271348217376735,-1.1570238802636643
0.3066777358437036,0.8109582238925008,0.8145281290864281,-1.067646824915518,-1.1765962904482143
0.38123867937661016,0.791347800059107,0.8231733463657158,-1.0450281395179972,-1.2146108521339463
0.2011131230126938,0.8600115110386459,0.962276859347524,-1.1040850904937503,-1.1912216378979237
0.23257286502726482,0.6219253671015738,1.1133499691851352,-1.154599621353993,-1.3130161835217249
0.23982293477831768,0.9596854906153844,1.0401498065028303,-1.0854159157704513,-1.183471673226075
0.1309165579873781,0.7784694996001721,1.0776792041890144,-1.1828804392094987,-1.3222672877000325
0.32432806999580255,0.777533806641465,1.1593606369632379,-1.078960611465999,-1.1222572446658445
0.25020330393945034,0.8481145398885701,1.1068716016039977,-1.1158038044699072,-1.2869798495400486
0.2795070950387347,0.9122659523650726,1.2206196208572493,-1.0901763344028685,-1.194776844217533
-0.205001069509395,0.6943300431475927,1.7869551527140506,-1.2237800035320068,-1.3828602900290068
0.18300317534321375,0.8114347564072439,1.6682891703851712,-1.0217063054205107,-1.2361906099151632
0.09961728894780797,0.7754683933811584,1.3590516085414182,-1.1707714525383426,-1.3101538127393177
0.2630501741741593,0.8279057016693415,1.574415220378457,-1.0370444841093474,-1.1618996621512312
-0.013052307457322998,0.878395214777921,1.2293973258028292,-1.2250671956634598,-1.3766698807166335
0.1641146613484301,0.8209658524421382,1.3243605998670422,-1.1131165843048012,-1.2589218666996937
0.39136673384750637,0.7212141558507574,1.1383903243181028,-1.0484319195123106,-1.0855868271067453
0.20146297318482098,0.7041598583272477,1.3123118989956224,-1.161432563698067,-1.2770576531439013
0.0782060383737091,0.7895907241910485,1.7141854880672558,-1.0902919241960252,-1.1585602966576234
0.2704524227353585,0.8542104289524517,1.3819619943110473,-1.04939228878342,-1.2406934897625597
0.2898533105053711,0.6868968066645098,1.1666654172359086,-1.1314532528379533,-1.235001821223458
0.3879198214731785,0.8998457543344449,0.9287122793131228,-1.0384313241722567,-1.1067579299608639
0.2778462043972532,0.7671016037348118,1.0042821393213672,-1.1304609343812693,-1.2153670964436887
0.34580348917449033,0.7495609827379606,0.769648159627436,-1.0586062487834882,-1.0959510303393354
0.25711897394804656,0.8351112749554909,0.7256595771045321,-1.0853678699347027,-1.2276293146231931
0.3540085500111336,0.7961530600217539,1.2114186704877692,-1.0712477725404763,-1.1446431366691152
0.24482956196859162,0.8116767613003841,0.9011865797070973,-1.0768578108793192,-1.1864463383798278
0.41129139075413096,0.8432821556135758,1.4435331620466703,-0.9706956180020229,-1.1580308449034946
0.29985741472880567,0.756986328342714,0.9276817041148748,-1.1259414239159495,-1.2767578363989998
0.28354903938091935,0.7719299754530271,1.3650155943683635,-1.033354293957419,-1.1382702602766863
0.34234772735786545,0.6847597883773534,0.9364760433523528,-1.147747229678227,-1.306168099925968
0.19403614803274327,0.8021996125477359,1.2333316153274356,-1.1158746675703415,-1.254947660266645
0.27532276105971704,0.7603455510067576,0.9667594877170932,-1.1231497847739043,-1.260236753320857
0.0532860518016246,0.7928756617463586,1.66099660668341,-1.147614513532571,-1.1981188000379004
0.42926052492349626,0.7982700789408155,1.24347493174159,-0.9954885078435107,-1.1910825234446902
0.3382653585895976,0.7019973012508078,1.234407101556735,-1.0673622403863283,-1.1252611236401777
0.2263045833245263,0.6295571094441857,1.4975766971218434,-1.138075976409422,-1.2419488263383136
0.14519528445724827,0.8220261385800671,1.6442954159146694,-1.0652310810822025,-1.174804264912576
0.01916342828363571,0.7552534316034691,0.8942588656440815,-1.255645937646197,-1.413400826044202
0.43668620514845413,0.622677802436104,1.151065073335894,-1.0556075369205384,-1.1633097122633296
0.18619809451471037,0.7205648530890868,1.3719758286447297,-1.1705301118099447,-1.3077073285882899
0.23666480378060317,0.7635168946723986,1.1751911893994227,-1.1095816520209147,-1.1864839145969641
0.176926874676394,0.855987164671201,1.7103631587164079,-1.1235330577034217,-1.056985284002394
0.26051882341550625,0.8993558369154613,1.0019516876749077,-1.0844942693034858,-1.1398870800133465
0.36576602192218166,0.853100830447827,1.1789861643925184,-0.9928155502170924,-1.1738743005055043
0.3630576634415642,0.8066224510793853,1.1868329100197839,-0.9893658207781788,-1.1434226501048033
0.24322059055964929,0.9098500032765173,1.0517886731771335,-1.1279804811824745,-1.1841692359439446
0.4369141827450679,0.8173746709054024,0.8337886869634275,-0.9525608451493274,-1.0771675037002764
0.2679027199320004,0.7837504241180375,1.168852405516449,-1.1429740921762734,-1.274416746114044
0.25538717259077215,0.49550248458762125,1.6340076645338737,-1.090743425556436,-1.3111354492251939
0.24685421719330414,0.8353646423497496,1.3443056837535625,-1.1059171974141162,-1.1429263345557508
0.3290382312585551,0.7471762658760478,1.2994763768870157,-1.0702616090626564,-1.216453645464769
0.33488978088300686,0.7430167763564153,0.7564679347067342,-1.0555606102044197,-1.1156696038441258
0.18645206941150982,0.995458085350058,1.3201880000573165,-1.1166385626849424,-1.2029209868778663
0.408826482583046,0.745988283415484,1.213435379858411,-1.0392410626411621,-1.1275958300622757
0.468098664649682,0.7925449458340288,1.2656782839274363,-0.9478817410210125,-1.1550985830935563
0.3120374964019614,0.8041201289925699,0.7973783961518388,-1.1067251691584752,-1.1672101652253197
0.20975068796279417,0.637931706948739,1.414586903555478,-1.1625665049504224,-1.3146529237685045
0.05957586391520392,0.815005946159425,1.0737481134781264,-1.2141371731567856,-1.3053934681831254
0.31751669128381244,0.8403164641573465,1.0494012239251003,-1.1125176489842967,-1.1677590809562282
0.30951567645600847,0.8932440157687629,0.9417997674720312,-1.064373681280604,-1.2078515497487947
0.12543356553138552,0.8481526264228016,1.038853893667517,-1.1228534581172944,-1.1719043143236485
0.3732092654990429,0.8362806803707602,1.1095662110631415,-1.027146680102169,-1.1807940349088646
0.2153724749778828,0.7224852801090729,1.0829808320487744,-1.095285852023412,-1.1830272256226881
0.1828511272348231,0.8333617718123184,1.3807793325555129,-1.1044838068808094,-1.2052694854039385
0.2526370312280602,0.7389569560022524,1.2419798305311465,-1.075600726639043,-1.1202145688194107
0.34567155884904743,0.8831082454025483,0.8432529876522402,-1.0592547149101934,-1.2410564751456568
0.37146658038088765,0.7647167294478078,1.2567573319467806,-1.0172075403594811,-1.1147655864522739
0.2619914559237212,0.5535338189874444,1.3346960108055475,-1.1631491931091138,-1.3583904404761624
-0.04112348445678782,1.0066942411376292,1.4463193952709665,-1.1574497120347145,-1.2991103923931782
0.37301020973676213,0.7097234230324273,1.0378777756827158,-1.0764460309088677,-1.1430489758910607
0.309510417508168,0.8249609286958726,0.9816115222388875,-1.0424428225446143,-1.1960312424548136
0.37434272357291554,0.8266196005187465,1.223888238121844,-1.0542645110300457,-1.1497032008265797
0.1530731127149731,0.8928627229178165,0.9186677564491501,-1.1158278966045054,-1.218250945843454
0.37549277218084126,0.7663404024818157,0.9551400325728372,-1.0682809458512847,-1.172686309657275
0.3321345458663904,0.804250839902245,1.0174215023991493,-1.0517898715504919,-1.2226205755671362
-0.046904340633543984,0.6772385247601105,1.2613114825546252,-1.2624399958349604,-1.3617339800067805
0.13610726028280468,0.9546550676610736,1.2167988361105215,-1.1600246912178902,-1.2557134725868053
0.354635849683822,0.6111758840221839,1.182804989003193,-1.1149453729705336,-1.2982262992693085
0.1593585834190694,0.9593365738342254,1.4973819061444313,-1.0777138405773246,-1.184997893539513
0.2555510325714786,0.9475208358147448,1.3367564483953105,-1.0665644351092418,-1.177844540016729
0.19129841947296788,0.8048891674955861,1.2372683036639422,-1.113137663172029,-1.3193705497791435
